name,score,price,rank
Intel Core i7-10750H @ 2.60GHz,"16,137",NA,132
AMD Ryzen 7 1800X,"16,132",$312.00,133
Intel Xeon E5-2669 v3 @ 2.30GHz,"16,107",NA,134
Intel Xeon E5-2682 v4 @ 2.50GHz,"16,099",NA,135
Intel Xeon Silver 4215 @ 2.50GHz,"16,069",$622.15,136
Intel Core i9-9980HK @ 2.40GHz,"15,906",$583.00*,137
AMD Ryzen 5 4600H,"15,900",NA,138
AMD Ryzen 7 PRO 1700X,"15,870",NA,139
AMD Ryzen 7 2700,"15,860",$337.98,140
Intel Xeon E5-2695 v4 @ 2.10GHz,"15,846","$5,808.00*",141
Intel Xeon D-2166NT @ 2.00GHz,"15,834","$1,005.00*",142
AMD Ryzen 7 PRO 2700,"15,795",NA,143
AMD EPYC 7351P,"15,792","$1,498.00",144
Intel Xeon E-2286M @ 2.40GHz,"15,785",$623.00*,145
Intel Xeon E5-2686 v4 @ 2.30GHz,"15,611",NA,146
Intel Xeon E5-2695 v3 @ 2.30GHz,"15,575",$479.00*,147
Intel Xeon E5-2689 v4 @ 3.10GHz,"15,574",NA,148
AMD Ryzen 7 1700X,"15,511",$299.99,149
Intel Xeon W-2135 @ 3.70GHz,"15,504",$961.70*,150
Intel Xeon Silver 4116 @ 2.10GHz,"15,499","$1,043.47",151
Intel Xeon E5-2690 v3 @ 2.60GHz,"15,492",$209.00,152
Intel Xeon E5-2680 v4 @ 2.40GHz,"15,301","$1,509.00*",153
Intel Xeon E-2278G @ 3.40GHz,"15,256",$494.00*,154
Intel Xeon E5-2680 v3 @ 2.50GHz,"15,176",$164.99,155
Intel Xeon Silver 4123 @ 3.00GHz,"15,101",NA,156
Intel Xeon E5-4669 v3 @ 2.10GHz,"15,058","$5,400.00*",157
Intel Xeon Gold 6128 @ 3.40GHz,"14,963","$1,719.99",158
Intel Xeon E5-2683 v4 @ 2.10GHz,"14,871",$389.00*,159
Intel Core i7-8086K @ 4.00GHz,"14,784",$698.76*,160
Intel Xeon W-2225 @ 4.10GHz,"14,763",NA,161
Intel Core i7-9700K @ 3.60GHz,"14,692",$379.99,162
Intel Xeon Silver 4210 @ 2.20GHz,"14,682",$568.26,163
AMD Ryzen 7 2700E,"14,647",NA,164
Intel Xeon E5-4667 v3 @ 2.00GHz,"14,548","$5,729.00*",165
Intel Core i7-9700KF @ 3.60GHz,"14,541",$359.99*,166
Intel Xeon E5-2678 v3 @ 2.50GHz,"14,514",NA,167
Intel Core i7-6900K @ 3.20GHz,"14,463",$699.99,168
Intel Xeon E-2286G @ 4.00GHz,"14,442",$450.00*,169
AMD Ryzen 7 4700U,"14,327",NA,170
AMD Ryzen 7 1700,"14,298",$202.45,171
Intel Xeon Silver 4114 @ 2.20GHz,"14,292",$699.95,172
Intel Xeon D-1567 @ 2.10GHz,"14,210",NA,173
Intel Xeon D-1587 @ 1.70GHz,"14,190",NA,174
AMD Ryzen 5 2600X,"14,177",$198.99,175
Intel Xeon E-2246G @ 3.60GHz,"14,135",$311.00*,176
Intel Core i9-9880H @ 2.30GHz,"14,131",$556.00*,177
Intel Core i7-9700F @ 3.00GHz,"14,126",$329.99,178
AMD Ryzen 7 PRO 1700,"14,023",NA,179
Intel Xeon E5-1681 v3 @ 2.90GHz,"13,934",NA,180
Intel Core i7-8700K @ 3.70GHz,"13,914",$387.97,181
Intel Core i7-9700 @ 3.00GHz,"13,890",$349.99,182
Intel Xeon Silver 4208 @ 2.10GHz,"13,867",$490.00,183
Intel Xeon E-2236 @ 3.40GHz,"13,788",$289.00*,184
Intel Core i9-9900T @ 2.10GHz,"13,770",$439.00*,185
Intel Xeon D-2143IT @ 2.20GHz,"13,740",$566.00*,186
AMD Ryzen 5 PRO 2600,"13,737",NA,187
Intel Xeon E5-2686 v3 @ 2.00GHz,"13,676",NA,188
Intel Xeon E5-2667 v4 @ 3.20GHz,"13,624",$931.10,189
Intel Xeon E-2176G @ 3.70GHz,"13,605",$396.99,190
Intel Xeon E5-2687W v3 @ 3.10GHz,"13,578",$608.99*,191
Intel Xeon E5-2676 v3 @ 2.40GHz,"13,546",NA,192
Intel Xeon E-2136 @ 3.30GHz,"13,534",$275.83,193
Intel Xeon E5-1680 v4 @ 3.40GHz,"13,500",NA,194
